,pre_mean,pre_median,pre_std,post_mean,post_median,post_std
poverty_incidence_2018_pct,22.27157449577098,18.78,17.292980832147354,22.97354511970534,19.29,17.999053252844462
poverty_incidence_2021_pct,23.146916724609373,21.660017500000002,12.696216205381468,23.363312487108654,21.910455,12.621201868430143
poverty_incidence_2023_pct,19.728674785807293,16.850237,12.372124495157875,19.85466162553714,17.23494,12.201481053741231
births_occurrence_both,640.7928423950448,179.0,2012.9305748254683,594.2820748925722,176.0,1906.201622922868
births_occurrence_male,332.20165175498965,91.0,1050.5557737818924,307.81767955801104,91.0,994.8538184046771
births_occurrence_female,308.59119064005506,86.0,962.5667602932875,286.39073050951504,85.0,911.5458697036199
births_residence_both,766.6249139710943,459.0,1562.7703465466489,734.8523634131369,451.0,1480.6951865281032
births_residence_male,397.9532002752925,237.0,812.2579787106288,382.000613873542,233.0,769.6121223029766
births_residence_female,368.67171369580177,219.0,750.7933620224073,353.5303867403315,220.5,711.3384824231562
